"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Investor owned utility","Avista Energy","1990","       0.000000","      14.310562","       0.088855","       0.077131","       0.018470","       8.875343","       0.000000","      23.370361"
"Investor owned utility","Bear Valley Electric Service","1990","       0.075805","      34.275928","       3.007874","       0.000000","       0.000000","      52.580684","       0.226513","      90.166804"
"Investor owned utility","Bear Valley Electric Service","1991","       0.000000","      15.863337","       2.414612","       0.000000","       0.000000","      51.900996","       0.273375","      70.452320"
"Investor owned utility","Bear Valley Electric Service","1992","       0.000000","      42.370707","       7.438678","       0.000000","       0.000000","      54.834000","       0.702615","     105.346000"
"Investor owned utility","Bear Valley Electric Service","1993","       0.000000","      41.686458","       9.570772","       0.000000","       0.000000","      54.369000","       0.607769","     106.233999"
"Investor owned utility","Bear Valley Electric Service","1994","       0.000000","      43.169177","       8.406141","       0.000000","       0.000000","      58.047000","       0.611682","     110.234000"
"Investor owned utility","Bear Valley Electric Service","1995","       0.000000","      40.635259","      11.156184","       0.000000","       0.000000","      59.122000","       0.605557","     111.519000"
"Investor owned utility","Bear Valley Electric Service","1996","       0.000000","      47.727368","       8.248177","       0.000000","       0.000000","      60.650000","       0.513456","     117.139001"
"Investor owned utility","Bear Valley Electric Service","1997","       0.000000","      50.552874","       9.491906","       0.000000","       0.000000","      61.201000","       0.677220","     121.923000"
"Investor owned utility","Bear Valley Electric Service","1998","       0.000000","      47.996362","      10.267000","       0.000000","       0.000000","      64.952000","       0.575638","     123.791000"
"Investor owned utility","Bear Valley Electric Service","1999","       0.000000","      53.551082","       8.566391","       0.000000","       0.000000","      64.437000","       0.580528","     127.135001"
"Investor owned utility","Bear Valley Electric Service","2000","       0.000000","      54.869398","       9.238339","       0.000000","       0.000000","      69.313000","       0.536262","     133.956999"
"Investor owned utility","Bear Valley Electric Service","2001","       0.000000","      44.199710","      15.200988","       0.000000","       0.000000","      66.514000","       0.995303","     126.910001"
"Investor owned utility","Bear Valley Electric Service","2002","       0.000000","      54.784044","       6.503348","       0.000000","       0.000000","      69.915000","       0.623609","     131.826001"
"Investor owned utility","Bear Valley Electric Service","2003","       0.000000","      58.972983","       3.845247","       0.000000","       0.000000","      69.497000","       0.534769","     132.849999"
"Investor owned utility","Bear Valley Electric Service","2004","       0.000000","      56.457823","       7.039778","       0.000000","       0.000000","      74.150000","       0.209398","     137.856999"
