"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"BFPRBUS","194913","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195013","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195113","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195213","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195313","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195413","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195513","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195613","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195713","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195813","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","195913","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196013","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196113","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196213","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196313","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196413","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196513","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196613","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196713","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196813","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","196913","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197013","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197113","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197213","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197301","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197302","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197303","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197304","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197305","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197306","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197307","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197308","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197309","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197310","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197311","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197312","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197313","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197401","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197402","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197403","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197404","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197405","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197406","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197407","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197408","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197409","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197410","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197411","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197412","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197413","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197501","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197502","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197503","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197504","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197505","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197506","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197507","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197508","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197509","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197510","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197511","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197512","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197513","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197601","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197602","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197603","Not Available","1","Biofuels Production","Trillion Btu"
"BFPRBUS","197604","Not Available","1","Biofuels Production","Trillion Btu"
