YYYYMM,Value
1989-01-01,2.792
1989-02-01,3.01
1989-03-01,4.147
1989-04-01,4.571
1989-05-01,5.046
1989-06-01,5.092
1989-07-01,5.345
1989-08-01,5.29
1989-09-01,4.825
1989-10-01,4.397
1989-11-01,3.607
1989-12-01,3.424
1990-01-01,2.958
1990-02-01,3.189
1990-03-01,4.393
1990-04-01,4.842
1990-05-01,5.345
1990-06-01,5.394
1990-07-01,5.662
1990-08-01,5.603
1990-09-01,5.111
1990-10-01,4.658
1990-11-01,3.821
1990-12-01,3.627
1991-01-01,3.051
1991-02-01,3.288
1991-03-01,4.531
1991-04-01,4.994
1991-05-01,5.513
1991-06-01,5.562
1991-07-01,5.839
1991-08-01,5.779
1991-09-01,5.27
1991-10-01,4.804
1991-11-01,3.94
1991-12-01,3.74
1992-01-01,3.16
1992-02-01,3.406
1992-03-01,4.693
1992-04-01,5.172
1992-05-01,5.71
1992-06-01,5.761
1992-07-01,6.048
1992-08-01,5.985
1992-09-01,5.459
1992-10-01,4.975
1992-11-01,4.081
1992-12-01,3.874
1993-01-01,3.248
1993-02-01,3.501
1993-03-01,4.824
1993-04-01,5.317
1993-05-01,5.87
1993-06-01,5.923
1993-07-01,6.218
1993-08-01,6.153
1993-09-01,5.612
1993-10-01,5.115
1993-11-01,4.196
1993-12-01,3.982
1994-01-01,3.336
1994-02-01,3.596
1994-03-01,4.955
1994-04-01,5.462
1994-05-01,6.029
1994-06-01,6.084
1994-07-01,6.386
1994-08-01,6.32
1994-09-01,5.764
1994-10-01,5.254
1994-11-01,4.309
1994-12-01,4.091
1995-01-01,3.387
1995-02-01,3.651
1995-03-01,5.03
1995-04-01,5.544
1995-05-01,6.12
1995-06-01,6.175
1995-07-01,6.483
1995-08-01,6.415
1995-09-01,5.851
1995-10-01,5.333
1995-11-01,4.374
1995-12-01,4.152
1996-01-01,3.416
1996-02-01,3.683
1996-03-01,5.074
1996-04-01,5.592
1996-05-01,6.174
1996-06-01,6.229
1996-07-01,6.539
1996-08-01,6.471
1996-09-01,5.902
1996-10-01,5.379
1996-11-01,4.413
1996-12-01,4.189
1997-01-01,3.369
1997-02-01,3.632
1997-03-01,5.004
1997-04-01,5.515
1997-05-01,6.088
1997-06-01,6.143
1997-07-01,6.449
1997-08-01,6.382
1997-09-01,5.821
1997-10-01,5.305
1997-11-01,4.352
1997-12-01,4.131
1998-01-01,3.33
1998-02-01,3.59
1998-03-01,4.946
1998-04-01,5.451
1998-05-01,6.018
1998-06-01,6.072
1998-07-01,6.374
1998-08-01,6.308
1998-09-01,5.754
1998-10-01,5.244
