YYYYMM,Value
2012-01-01,3.21
2012-02-01,3.46
2012-03-01,4.768
2012-04-01,5.255
2012-05-01,5.801
2012-06-01,5.853
2012-07-01,6.145
2012-08-01,6.081
2012-09-01,5.546
2012-10-01,5.055
2012-11-01,4.146
2012-12-01,3.9360000000000004
2013-01-01,3.29
2013-02-01,3.5469999999999997
2013-03-01,4.887
2013-04-01,5.386
2013-05-01,5.946000000000001
2013-06-01,5.999
2013-07-01,6.297999999999999
2013-08-01,6.232
2013-09-01,5.684
2013-10-01,5.181
2013-11-01,4.25
2013-12-01,4.034
2014-01-01,3.437
2014-02-01,3.657
2014-03-01,4.996
2014-04-01,5.445
2014-05-01,6.015
2014-06-01,6.062
2014-07-01,6.327000000000001
2014-08-01,6.275
2014-09-01,5.763999999999999
2014-10-01,5.315
2014-11-01,4.362
2014-12-01,4.22
2015-01-01,3.272
2015-02-01,3.576
2015-03-01,4.97
2015-04-01,5.539
2015-05-01,6.111000000000001
2015-06-01,6.172999999999999
2015-07-01,6.518
2015-08-01,6.436
2015-09-01,5.829
2015-10-01,5.251
2015-11-01,4.305
2015-12-01,4.007
2016-01-01,3.236
2016-02-01,3.781
2016-03-01,5.038
2016-04-01,5.625
2016-05-01,6.206
2016-06-01,6.367000000000001
2016-07-01,6.607
2016-08-01,6.412999999999999
2016-09-01,5.732
2016-10-01,5.127000000000001
2016-11-01,4.151
2016-12-01,3.855
2017-01-01,3.221
2017-02-01,3.582
2017-03-01,5.145
2017-04-01,5.725
2017-05-01,6.32
2017-06-01,6.482
2017-07-01,6.6770000000000005
2017-08-01,6.478
2017-09-01,5.8020000000000005
2017-10-01,5.185
2017-11-01,4.077
2017-12-01,3.823
2018-01-01,3.238
2018-02-01,3.6010000000000004
2018-03-01,5.172000000000001
2012-01-01,1.061
2012-02-01,1.1440000000000001
2012-03-01,1.5759999999999998
2012-04-01,1.7369999999999999
2012-05-01,1.9169999999999998
2012-06-01,1.935
2012-07-01,2.031
2012-08-01,2.01
2012-09-01,1.8330000000000002
2012-10-01,1.671
2012-11-01,1.37
2012-12-01,1.301
2013-01-01,1.663
2013-02-01,1.7919999999999998
2013-03-01,2.47
2013-04-01,2.722
2013-05-01,3.005
2013-06-01,3.032
2013-07-01,3.1830000000000003
2013-08-01,3.15
2013-09-01,2.873
2013-10-01,2.6180000000000003
2013-11-01,2.148
2013-12-01,2.039
2014-01-01,2.499
2014-02-01,2.634
2014-03-01,3.636
2014-04-01,4.0
2014-05-01,4.453
2014-06-01,4.547
2014-07-01,4.7780000000000005
2014-08-01,4.783
2014-09-01,4.488
2014-10-01,4.236000000000001
2014-11-01,3.545
2014-12-01,3.452
2015-01-01,3.1660000000000004
2015-02-01,3.492
2015-03-01,4.99
2015-04-01,5.68
2015-05-01,6.301
2015-06-01,6.46
2015-07-01,6.903
2015-08-01,6.9479999999999995
2015-09-01,6.332000000000001
2015-10-01,5.757999999999999
2015-11-01,4.798
2015-12-01,4.393
2016-01-01,4.8
2016-02-01,5.7410000000000005
2016-03-01,7.705
2016-04-01,8.779
2016-05-01,9.764
2016-06-01,10.146
2016-07-01,10.584000000000001
2016-08-01,10.274000000000001
2016-09-01,9.132
2016-10-01,8.165
2016-11-01,6.7
2016-12-01,6.024
2017-01-01,6.434
2017-02-01,7.226
2017-03-01,10.59
2017-04-01,11.850999999999999
2017-05-01,13.062000000000001
2017-06-01,13.550999999999998
2017-07-01,13.802999999999999
2017-08-01,13.347999999999999
2017-09-01,11.93
2017-10-01,10.668
2017-11-01,8.337
2017-12-01,7.723
2018-01-01,8.779
2018-02-01,9.308
2018-03-01,12.874
2012-01-01,1.6340000000000001
2012-02-01,1.761
2012-03-01,2.426
2012-04-01,2.674
2012-05-01,2.952
2012-06-01,2.9789999999999996
2012-07-01,3.127
2012-08-01,3.095
2012-09-01,2.823
2012-10-01,2.573
2012-11-01,2.11
2012-12-01,2.003
2013-01-01,2.08
2013-02-01,2.242
2013-03-01,3.089
2013-04-01,3.404
2013-05-01,3.758
2013-06-01,3.792
2013-07-01,3.9810000000000003
2013-08-01,3.9389999999999996
2013-09-01,3.593
2013-10-01,3.275
2013-11-01,2.6860000000000004
2013-12-01,2.55
2014-01-01,2.8489999999999998
2014-02-01,3.0589999999999997
2014-03-01,4.107
2014-04-01,4.438
2014-05-01,4.873
2014-06-01,4.848
2014-07-01,5.029
2014-08-01,4.946000000000001
2014-09-01,4.456
2014-10-01,3.987
2014-11-01,3.218
2014-12-01,3.1260000000000003
2015-01-01,3.049
2015-02-01,3.319
2015-03-01,4.46
2015-04-01,4.888999999999999
2015-05-01,5.346
2015-06-01,5.321000000000001
