YEAR,REDTI,DEGREE DAYS,MONTH,yyyymm
1895,66.8,1023.4,1,18951
1896,45.5,919.8,1,18961
1897,59.9,989.9,1,18971
1898,40.3,894.8,1,18981
1899,50.5,944.3,1,18991
1900,33.7,862.5,1,19001
1901,42.7,906.6,1,19011
1902,54.2,962.2,1,19021
1903,48.7,935.7,1,19031
1904,74.5,1061.1,1,19041
1905,69,1034.5,1,19051
1906,26.1,825.8,1,19061
1907,37.2,879.4,1,19071
1908,41,898.3,1,19081
1909,32.9,858.6,1,19091
1910,51.4,948.5,1,19101
1911,30.4,846.8,1,19111
1912,86.5,1119.3,1,19121
1913,28.8,838.6,1,19131
1914,29.5,842.2,1,19141
1915,53.3,958.1,1,19151
1916,37.5,881.1,1,19161
1917,51.3,948.4,1,19171
1918,97.3,1171.9,1,19181
1919,35.6,871.9,1,19191
1920,65.2,1016,1,19201
1921,29.3,841.2,1,19211
1922,63.2,1005.9,1,19221
1923,32,854.3,1,19231
1924,61.9,1000,1,19241
1925,56.1,971.7,1,19251
1926,49.8,941,1,19261
1927,45.1,918,1,19271
1928,39.9,892.9,1,19281
1929,60.6,993.6,1,19291
1930,65.9,1019.3,1,19301
1931,36.2,874.7,1,19311
1932,17.3,783,1,19321
1933,15.2,772.7,1,19331
1934,24.8,819.4,1,19341
1935,46.1,922.8,1,19351
1936,64.4,1012.1,1,19361
1937,43.6,911,1,19371
1938,41.4,900.3,1,19381
1939,31.6,852.2,1,19391
1940,92.8,1149.9,1,19401
1941,41.3,899.7,1,19411
1942,51.2,947.8,1,19421
1943,48.8,936.2,1,19431
1944,36,873.7,1,19441
1945,61.3,996.9,1,19451
1946,41.1,898.7,1,19461
1947,32.9,858.8,1,19471
1948,72.4,1050.9,1,19481
1949,42.7,906.5,1,19491
1950,22.8,809.6,1,19501
1951,40.6,896.3,1,19511
1952,30,844.5,1,19521
1953,17.4,783.5,1,19531
1954,44.2,913.8,1,19541
1955,53.2,957.4,1,19551
1956,46.8,926.2,1,19561
1957,62.6,1003.4,1,19571
1958,49,937,1,19581
1959,54.5,964,1,19591
1960,44.6,915.5,1,19601
1961,61.8,999.2,1,19611
1962,61.9,1000,1,19621
1963,77.8,1077.3,1,19631
1964,40.6,896.3,1,19641
1965,45.6,920.7,1,19651
1966,67.7,1028.2,1,19661
1967,29.2,840.5,1,19671
1968,60.6,993.7,1,19681
1969,52.2,952.5,1,19691
1970,76.2,1069.2,1,19701
1971,58.9,985.1,1,19711
1972,43.9,912.2,1,19721
1973,45,917.5,1,19731
1974,34.3,865.4,1,19741
1975,29.5,842.2,1,19751
1976,57.7,979.4,1,19761
1977,100,1185.1,1,19771
1978,75,1063.6,1,19781
1979,80,1087.7,1,19791
1980,40.1,893.7,1,19801
1981,58.1,981.2,1,19811
1982,75.4,1065.3,1,19821
1983,37.4,880.6,1,19831
1984,61.6,998.5,1,19841
1985,73.5,1056.2,1,19851
1986,32.9,858.5,1,19861
1987,46,922.3,1,19871
1988,62.5,1002.7,1,19881
1989,20.8,799.8,1,19891
1990,8.8,741.7,1,19901
1991,46.1,923.1,1,19911
1992,31.1,849.9,1,19921
1993,34.4,865.8,1,19931
1994,65,1014.8,1,19941
1995,30.3,845.9,1,19951
1996,49,937.2,1,19961
1997,46.4,924.2,1,19971
1998,14.4,768.6,1,19981
1999,31.6,852.5,1,19991
2000,36.8,877.8,1,20001
2001,46.2,923.4,1,20011
2002,18.4,788.4,1,20021
2003,50.3,943.2,1,20031
2004,55,966.2,1,20041
2005,33.2,860,1,20051
2006,0,698.7,1,20061
2007,31.2,850.3,1,20071
2008,40,893.4,1,20081
2009,53.6,959.4,1,20091
2010,48.1,932.6,1,20101
2011,54.2,962.2,1,20111
2012,15.8,775.4,1,20121
2013,30.5,847,1,20131
2014,59,985.5,1,20141
2015,43,907.9,1,20151
2016,38.7,887,1,20161
2017,18.9,790.5,1,20171
2018,44.7,916.1,1,20181
1895,100,974.7,2,18952
1896,44.7,753.3,2,18962
1897,45.9,758.4,2,18972
1898,44.2,751.5,2,18982
1899,93.8,949.8,2,18992
1900,66.2,839.6,2,19002
1901,80.7,897.6,2,19012
1902,76.2,879.5,2,19022
1903,63.7,829.4,2,19032
1904,74.1,871,2,19042
1905,96.3,959.7,2,19052
1906,52.9,786.4,2,19062
1907,57.1,803.2,2,19072
1908,64.7,833.4,2,19082
1909,32.8,705.9,2,19092
1910,71.1,858.9,2,19102
1911,43.5,748.7,2,19112
1912,75.9,878.1,2,19122
1913,67.3,843.9,2,19132
1914,80.3,896,2,19142
1915,33.3,708,2,19152
1916,59,810.7,2,19162
1917,70.8,858,2,19172
1918,50.5,776.8,2,19182
1919,50.5,776.5,2,19192
1920,60.1,814.9,2,19202
1921,31.9,702.4,2,19212
1922,44.1,751,2,19222
1923,74.5,872.5,2,19232
1924,53.1,787.1,2,19242
1925,19.7,653.6,2,19252
1926,37.4,724.1,2,19262
1927,19.6,653.2,2,19272
1928,45.5,756.8,2,19282
1929,79,890.8,2,19292
1930,14.4,632.4,2,19302
1931,29.3,692,2,19312
1932,24.5,672.7,2,19322
1933,57.6,805.1,2,19332
1934,77,882.6,2,19342
1935,44.4,752.3,2,19352
1936,94.2,951.5,2,19362
1937,51.5,780.6,2,19372
1938,26.1,679.2,2,19382
1939,51.3,779.8,2,19392
1940,50.7,777.4,2,19402
1941,59.6,813.1,2,19412
1942,68.4,848.3,2,19422
1943,37.7,725.4,2,19432
1944,42.4,744.2,2,19442
1945,42.9,746.4,2,19452
1946,44.9,754.4,2,19462
1947,72.3,863.7,2,19472
1948,59.9,814.1,2,19482
1949,40.5,736.6,2,19492
1950,41.8,741.7,2,19502
1951,43.3,747.8,2,19512
1952,32.6,704.9,2,19522
1953,30.6,696.9,2,19532
1954,7.8,605.8,2,19542
1955,52.9,786.3,2,19552
1956,44.8,753.8,2,19562
1957,20.6,657.2,2,19572
1958,75.5,876.5,2,19582
1959,53.3,787.8,2,19592
1960,57.5,804.6,2,19602
1961,29.3,691.9,2,19612
1962,47.5,764.8,2,19622
1963,67.7,845.4,2,19632
1964,61.5,820.6,2,19642
1965,55.1,794.9,2,19652
1966,58.3,807.7,2,19662
1967,63.7,829.4,2,19672
1968,65.9,838.2,2,19682
1969,53.8,790,2,19692
1970,48,766.5,2,19702
1971,49.6,773,2,19712
1972,54.4,792.1,2,19722
1973,52.2,783.5,2,19732
1974,47.2,763.5,2,19742
1975,45.7,757.3,2,19752
1976,12.6,625,2,19762
1977,45,754.5,2,19772
1978,94.9,954.3,2,19782
1979,92.8,945.7,2,19792
1980,63.9,830.1,2,19802
1981,30.8,698,2,19812
1982,51.8,781.9,2,19822
1983,34.3,712,2,19832
1984,20.2,655.6,2,19842
1985,58.8,809.8,2,19852
1986,39.6,733.2,2,19862
1987,35.5,716.8,2,19872
1988,49.5,772.8,2,19882
1989,63.7,829.3,2,19892
1990,22.7,665.3,2,19902
1991,15.9,638.1,2,19912
1992,17.4,644.3,2,19922
1993,61.6,821,2,19932
1994,58.5,808.5,2,19942
1995,41.4,740.1,2,19952
1996,40.4,736.4,2,19962
1997,25.5,676.8,2,19972
1998,13.8,629.9,2,19982
1999,18.1,647.1,2,19992
2000,16.5,640.5,2,20002
2001,37.2,723.3,2,20012
2002,24.5,672.8,2,20022
2003,57.9,806.3,2,20032
2004,48.5,768.6,2,20042
2005,25.9,678.1,2,20052
2006,38.2,727.5,2,20062
2007,67.3,843.7,2,20072
2008,41.6,740.9,2,20082
2009,32,702.7,2,20092
2010,59.5,812.5,2,20102
2011,44.5,752.6,2,20112
2012,17.3,644,2,20122
2013,43.3,747.9,2,20132
2014,60.6,817.1,2,20142
2015,77.6,884.9,2,20152
2016,17.8,645.9,2,20162
2017,0,574.6,2,20172
2018,20,654.5,2,20182
1895,66.2,704.8,3,18953
1896,76,746,3,18963
1897,58.7,673.6,3,18973
1898,38.6,589.9,3,18983
1899,69.9,720.3,3,18993
1900,66.8,707.6,3,19003
1901,55.5,660.5,3,19013
1902,43.9,612,3,19023
1903,30.6,556.7,3,19033
1904,55.9,662.2,3,19043
1905,37.2,583.9,3,19053
1906,85.8,786.5,3,19063
1907,34.7,573.7,3,19073
1908,38.5,589.3,3,19083
1909,63.1,692.2,3,19093
1910,12.9,482.5,3,19103
1911,50.5,639.5,3,19113
1912,85,783.3,3,19123
1913,54.4,655.9,3,19133
1914,63.3,692.7,3,19143
1915,81.3,767.8,3,19153
1916,66.5,706.3,3,19163
1917,62,687.4,3,19173
1918,32.4,563.8,3,19183
1919,47.3,626.1,3,19193
1920,55.3,659.6,3,19203
1921,14.3,488.5,3,19213
1922,51.7,644.6,3,19223
1923,66.9,708,3,19233
1924,72.7,732.2,3,19243
1925,36.6,581.4,3,19253
1926,73.1,733.9,3,19263
1927,42,603.9,3,19273
1928,49.4,634.9,3,19283
1929,33.2,567.3,3,19293
1930,56.2,663.4,3,19303
1931,63.7,694.5,3,19313
1932,74.8,740.9,3,19323
1933,55,658.2,3,19333
1934,56.2,663.2,3,19343
1935,37.2,583.9,3,19353
1936,32.9,566.3,3,19363
1937,71,725.1,3,19373
1938,30.6,556.7,3,19383
1939,49.6,635.7,3,19393
1940,64.1,696.2,3,19403
1941,74.8,740.7,3,19413
1942,45.3,617.9,3,19423
1943,64.1,696.4,3,19433
1944,66.5,706,3,19443
1945,17.3,501,3,19453
1946,14.1,487.9,3,19463
1947,74.4,739,3,19473
1948,56.7,665.4,3,19483
1949,52.1,646.3,3,19493
1950,70.2,721.6,3,19503
1951,57.4,668.3,3,19513
1952,66.8,707.4,3,19523
1953,41.5,602.1,3,19533
1954,60,679.1,3,19543
1955,50.7,640.4,3,19553
1956,59.9,678.6,3,19563
1957,51.3,642.7,3,19573
1958,70,720.9,3,19583
1959,52.9,649.6,3,19593
1960,100,845.9,3,19603
1961,41.7,602.9,3,19613
1962,68.8,715.8,3,19623
1963,40.8,599.1,3,19633
1964,57.3,668,3,19643
1965,79.4,760.2,3,19653
1966,42.5,606.3,3,19663
1967,48.5,631,3,19673
1968,38.8,590.7,3,19683
1969,78,754,3,19693
1970,66.2,705.1,3,19703
1971,65.4,701.6,3,19713
1972,48.4,630.8,3,19723
1973,28.2,546.5,3,19733
1974,38.8,590.7,3,19743
1975,67.1,708.7,3,19753
1976,36.1,579.4,3,19763
1977,32.7,565.1,3,19773
1978,62,687.4,3,19783
1979,40.4,597.4,3,19793
1980,64.7,698.6,3,19803
1981,49.8,636.4,3,19813
1982,51.6,643.9,3,19823
1983,42,603.9,3,19833
1984,67.4,709.8,3,19843
1985,37.3,584.4,3,19853
1986,31.2,559,3,19863
1987,38.8,590.6,3,19873
1988,42.6,606.4,3,19883
1989,44.6,614.8,3,19893
1990,29.8,553.3,3,19903
1991,38.3,588.7,3,19913
1992,44,612.5,3,19923
1993,56.7,665.2,3,19933
1994,41.8,603,3,19943
1995,34.3,572,3,19953
1996,67.1,708.5,3,19963
1997,34.6,573.2,3,19973
1998,42,604.2,3,19983
1999,52.9,649.6,3,19993
2000,21.4,518.1,3,20003
2001,56.8,665.6,3,20013
2002,50.4,639,3,20023
2003,40.5,597.6,3,20033
2004,21.9,520.3,3,20043
2005,54.4,655.7,3,20053
2006,45.9,620.3,3,20063
2007,23.8,528,3,20073
2008,48,628.9,3,20083
2009,40.2,596.5,3,20093
2010,31.2,559.1,3,20103
2011,42.5,606.3,3,20113
2012,0,428.9,3,20123
2013,58.8,674.2,3,20133
2014,65.9,703.6,3,20143
2015,45.7,619.6,3,20153
2016,14.2,488.3,3,20163
2017,36.5,581.3,3,20173
2018,50.2,638.4,3,20183
1895,35.9,372.4,4,18954
1896,24.7,350.9,4,18964
1897,42.1,384.3,4,18974
1898,60.2,419,4,18984
1899,36.4,373.4,4,18994
1900,41.9,383.9,4,19004
1901,67.5,433,4,19014
1902,53.6,406.4,4,19024
1903,47.6,394.9,4,19034
1904,80.6,458.3,4,19044
1905,47.9,395.5,4,19054
1906,29.8,360.6,4,19064
1907,100,495.5,4,19074
1908,41.2,382.5,4,19084
1909,60.5,419.6,4,19094
1910,14.1,330.5,4,19104
1911,71.9,441.6,4,19114
1912,50.8,401,4,19124
1913,36.6,373.7,4,19134
1914,49.2,398,4,19144
1915,0.4,304.1,4,19154
1916,52.2,403.7,4,19164
1917,64.3,427,4,19174
