,Value,year,Price,REDTI,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,3.132,1990,7.17,8.8,1,0,0,0,0,0,0,0,0,0,0,0
1,3.395,1990,7.48,22.7,0,1,0,0,0,0,0,0,0,0,0,0
2,4.685,1990,7.57,29.8,0,0,1,0,0,0,0,0,0,0,0,0
3,5.16,1990,7.69,26.8,0,0,0,1,0,0,0,0,0,0,0,0
4,5.863,1990,7.96,53.9,0,0,0,0,1,0,0,0,0,0,0,0
5,5.821,1990,8.1,54.1,0,0,0,0,0,1,0,0,0,0,0,0
6,6.182,1990,8.18,34.6,0,0,0,0,0,0,1,0,0,0,0,0
7,6.146,1990,8.24,39.3,0,0,0,0,0,0,0,1,0,0,0,0
8,5.468,1990,8.15,35.8,0,0,0,0,0,0,0,0,1,0,0,0
9,5.037,1990,8.04,26.9,0,0,0,0,0,0,0,0,0,1,0,0
10,4.014,1990,7.8,22.1,0,0,0,0,0,0,0,0,0,0,1,0
11,3.85,1990,7.61,43.7,0,0,0,0,0,0,0,0,0,0,0,1
12,3.279,1991,7.41,46.1,1,0,0,0,0,0,0,0,0,0,0,0
13,3.534,1991,7.61,15.9,0,1,0,0,0,0,0,0,0,0,0,0
14,4.624,1991,7.79,38.3,0,0,1,0,0,0,0,0,0,0,0,0
15,5.095,1991,7.98,20.1,0,0,0,1,0,0,0,0,0,0,0,0
16,6.204,1991,8.14,30.2,0,0,0,0,1,0,0,0,0,0,0,0
17,6.3,1991,8.32,53.5,0,0,0,0,0,1,0,0,0,0,0,0
18,6.738,1991,8.38,47.7,0,0,0,0,0,0,1,0,0,0,0,0
19,6.563,1991,8.41,46.4,0,0,0,0,0,0,0,1,0,0,0,0
20,5.934,1991,8.37,25.2,0,0,0,0,0,0,0,0,1,0,0,0
21,5.207,1991,8.32,26.9,0,0,0,0,0,0,0,0,0,1,0,0
22,4.229,1991,7.95,66.4,0,0,0,0,0,0,0,0,0,0,1,0
23,3.901,1991,7.81,33.1,0,0,0,0,0,0,0,0,0,0,0,1
24,3.272,1992,7.7,31.1,1,0,0,0,0,0,0,0,0,0,0,0
25,3.545,1992,7.78,17.4,0,1,0,0,0,0,0,0,0,0,0,0
26,4.872,1992,8.01,44.0,0,0,1,0,0,0,0,0,0,0,0,0
27,5.511,1992,8.03,36.2,0,0,0,1,0,0,0,0,0,0,0,0
28,6.235,1992,8.38,7.9,0,0,0,0,1,0,0,0,0,0,0,0
29,6.276,1992,8.61,9.2,0,0,0,0,0,1,0,0,0,0,0,0
30,6.733,1992,8.54,22.2,0,0,0,0,0,0,1,0,0,0,0,0
31,6.652,1992,8.56,2.6,0,0,0,0,0,0,0,1,0,0,0,0
32,5.973,1992,8.59,36.4,0,0,0,0,0,0,0,0,1,0,0,0
33,5.399,1992,8.44,48.3,0,0,0,0,0,0,0,0,0,1,0,0
34,4.403,1992,8.14,60.8,0,0,0,0,0,0,0,0,0,0,1,0
35,3.995,1992,7.86,49.6,0,0,0,0,0,0,0,0,0,0,0,1
36,3.369,1993,7.73,34.4,1,0,0,0,0,0,0,0,0,0,0,0
37,3.711,1993,7.79,61.6,0,1,0,0,0,0,0,0,0,0,0,0
38,5.216,1993,7.8,56.7,0,0,1,0,0,0,0,0,0,0,0,0
39,5.915,1993,8.13,46.7,0,0,0,1,0,0,0,0,0,0,0,0
40,6.424,1993,8.56,0.5,0,0,0,0,1,0,0,0,0,0,0,0
41,6.332,1993,8.74,36.9,0,0,0,0,0,1,0,0,0,0,0,0
42,6.907,1993,8.73,60.3,0,0,0,0,0,0,1,0,0,0,0,0
43,6.902,1993,8.73,59.6,0,0,0,0,0,0,0,1,0,0,0,0
44,6.237,1993,8.79,51.9,0,0,0,0,0,0,0,0,1,0,0,0
45,5.503,1993,8.76,49.2,0,0,0,0,0,0,0,0,0,1,0,0
46,4.503,1993,8.21,66.1,0,0,0,0,0,0,0,0,0,0,1,0
47,4.155,1993,7.9,48.3,0,0,0,0,0,0,0,0,0,0,0,1
48,3.625,1994,7.74,65.0,1,0,0,0,0,0,0,0,0,0,0,0
49,3.848,1994,7.85,58.5,0,1,0,0,0,0,0,0,0,0,0,0
50,5.506,1994,8.08,41.8,0,0,1,0,0,0,0,0,0,0,0,0
51,6.002,1994,8.3,18.1,0,0,0,1,0,0,0,0,0,0,0,0
52,6.594,1994,8.53,31.1,0,0,0,0,1,0,0,0,0,0,0,0
53,6.716,1994,8.77,72.3,0,0,0,0,0,1,0,0,0,0,0,0
54,6.986,1994,8.8,42.0,0,0,0,0,0,0,1,0,0,0,0,0
55,6.778,1994,8.84,23.6,0,0,0,0,0,0,0,1,0,0,0,0
56,6.323,1994,8.82,2.4,0,0,0,0,0,0,0,0,1,0,0,0
57,5.872,1994,8.56,35.9,0,0,0,0,0,0,0,0,0,1,0,0
58,4.629,1994,8.29,34.4,0,0,0,0,0,0,0,0,0,0,1,0
59,4.228,1994,8.06,27.8,0,0,0,0,0,0,0,0,0,0,0,1
60,3.471,1995,7.85,30.3,1,0,0,0,0,0,0,0,0,0,0,0
61,3.777,1995,8.01,41.4,0,1,0,0,0,0,0,0,0,0,0,0
62,5.258,1995,8.14,34.3,0,0,1,0,0,0,0,0,0,0,0,0
63,6.123,1995,8.41,54.8,0,0,0,1,0,0,0,0,0,0,0,0
64,6.877,1995,8.53,52.5,0,0,0,0,1,0,0,0,0,0,0,0
65,7.071,1995,8.72,24.0,0,0,0,0,0,1,0,0,0,0,0,0
66,7.29,1995,8.8,56.1,0,0,0,0,0,0,1,0,0,0,0,0
67,7.199,1995,8.78,95.6,0,0,0,0,0,0,0,1,0,0,0,0
68,6.444,1995,8.57,39.5,0,0,0,0,0,0,0,0,1,0,0,0
69,5.753,1995,8.65,23.4,0,0,0,0,0,0,0,0,0,1,0,0
