"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ESRCUUS","196013","2.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196113","2.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196213","2.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196313","2.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196413","2.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196513","2.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196613","2.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196713","2.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196813","2.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","196913","2.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197013","2.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197113","2.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197213","2.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197313","2.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197413","3.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197513","3.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197601","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197602","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197603","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197604","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197605","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197606","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197607","3.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197608","3.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197609","3.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197610","3.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197611","3.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197612","3.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197613","3.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197701","3.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197702","3.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197703","4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197704","4.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197705","4.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197706","4.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197707","4.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197708","4.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197709","4.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197710","4.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197711","4.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197712","4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197713","4.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197801","3.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197802","3.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197803","4.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197804","4.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197805","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197806","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197807","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197808","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197809","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197810","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197811","4.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197812","4.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197813","4.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197901","4.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197902","4.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197903","4.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197904","4.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197905","4.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197906","4.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197907","4.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197908","4.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197909","5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197910","5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197911","4.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197912","4.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","197913","4.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198001","4.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198002","4.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198003","4.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198004","5.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198005","5.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198006","5.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198007","5.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198008","5.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198009","5.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198010","5.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198011","5.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198012","5.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198013","5.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198101","5.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198102","5.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198103","5.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198104","6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198105","6.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198106","6.5","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198107","6.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198108","6.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198109","6.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198110","6.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198111","6.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198112","6.3","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198113","6.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198201","6.2","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198202","6.4","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198203","6.6","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198204","6.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198205","6.9","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
