MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOT8BUS,201201,3.21,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,1
SOT8BUS,201202,3.46,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,2
SOT8BUS,201203,4.768,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,3
SOT8BUS,201204,5.255,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,4
SOT8BUS,201205,5.801,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,5
SOT8BUS,201206,5.853,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,6
SOT8BUS,201207,6.145,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,7
SOT8BUS,201208,6.081,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,8
SOT8BUS,201209,5.546,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,9
SOT8BUS,201210,5.055,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,10
SOT8BUS,201211,4.146,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,11
SOT8BUS,201212,3.936,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2012,12
SOT8BUS,201301,3.29,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,1
SOT8BUS,201302,3.547,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,2
SOT8BUS,201303,4.887,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,3
SOT8BUS,201304,5.386,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,4
SOT8BUS,201305,5.946,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,5
SOT8BUS,201306,5.999,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,6
SOT8BUS,201307,6.298,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,7
SOT8BUS,201308,6.232,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,8
SOT8BUS,201309,5.684,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,9
SOT8BUS,201310,5.181,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,10
SOT8BUS,201311,4.25,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,11
SOT8BUS,201312,4.034,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2013,12
SOT8BUS,201401,3.437,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,1
SOT8BUS,201402,3.657,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,2
SOT8BUS,201403,4.996,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,3
SOT8BUS,201404,5.445,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,4
SOT8BUS,201405,6.015,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,5
SOT8BUS,201406,6.062,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,6
SOT8BUS,201407,6.327,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,7
SOT8BUS,201408,6.275,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,8
SOT8BUS,201409,5.764,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,9
SOT8BUS,201410,5.315,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,10
SOT8BUS,201411,4.362,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,11
SOT8BUS,201412,4.22,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2014,12
SOT8BUS,201501,3.272,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2015,1
SOT8BUS,201502,3.576,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2015,2
SOT8BUS,201503,4.97,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2015,3
