YYYYMM,Value
198901,2.798
198902,3.016
198903,4.156
198904,4.581
198905,5.057
198906,5.102
198907,5.356
198908,5.301
198909,4.835
198910,4.406
198911,3.614
198912,3.431
199001,2.965
199002,3.196
199003,4.403
199004,4.853
199005,5.357
199006,5.406
199007,5.675
199008,5.616
199009,5.122
199010,4.668
199011,3.829
199012,3.635
199101,3.058
199102,3.296
199103,4.542
199104,5.006
199105,5.526
199106,5.576
199107,5.853
199108,5.793
199109,5.283
199110,4.815
199111,3.95
199112,3.749
199201,3.168
199202,3.415
199203,4.705
199204,5.185
199205,5.724
199206,5.776
199207,6.063
199208,6
199209,5.473
199210,4.988
199211,4.092
199212,3.884
199301,3.257
199302,3.511
199303,4.837
199304,5.332
199305,5.886
199306,5.939
199307,6.235
199308,6.17
199309,5.627
199310,5.129
199311,4.207
199312,3.993
199401,3.346
199402,3.607
199403,4.97
199404,5.478
199405,6.047
199406,6.102
199407,6.405
199408,6.339
199409,5.781
199410,5.269
199411,4.322
199412,4.103
199501,3.398
199502,3.663
199503,5.047
199504,5.562
199505,6.141
199506,6.196
199507,6.504
199508,6.437
199509,5.871
199510,5.351
199511,4.389
199512,4.166
199601,3.429
199602,3.697
199603,5.093
199604,5.614
199605,6.197
199606,6.253
199607,6.564
199608,6.496
199609,5.925
199610,5.4
199611,4.429
199612,4.205
199701,3.383
199702,3.647
199703,5.025
199704,5.539
199705,6.114
199706,6.169
199707,6.477
199708,6.409
199709,5.846
199710,5.328
199711,4.37
199712,4.148
199801,3.346
199802,3.607
199803,4.97
199804,5.478
199805,6.047
199806,6.102
199807,6.406
199808,6.339
199809,5.782
199810,5.269
199811,4.322
199812,4.103
199901,3.27
199902,3.525
199903,4.856
199904,5.353
199905,5.909
199906,5.962
199907,6.259
199908,6.194
199909,5.649
199910,5.149
199911,4.223
199912,4.009
200001,3.126
200002,3.37
200003,4.643
200004,5.117
200005,5.649
200006,5.7
200007,5.984
200008,5.922
200009,5.401
200010,4.923
200011,4.038
200012,3.833
200101,2.989
200102,3.222
200103,4.439
200104,4.893
200105,5.401
200106,5.45
200107,5.721
200108,5.662
200109,5.164
200110,4.706
200111,3.861
200112,3.665
200201,2.887
200202,3.112
200203,4.288
200204,4.726
200205,5.217
200206,5.264
200207,5.526
200208,5.469
200209,4.988
200210,4.546
200211,3.729
200212,3.54
200301,2.807
200302,3.026
200303,4.169
200304,4.595
200305,5.072
200306,5.118
200307,5.373
200308,5.317
200309,4.85
200310,4.42
200311,3.626
200312,3.441
200401,2.77
200402,2.986
200403,4.114
200404,4.534
200405,5.006
200406,5.051
200407,5.302
200408,5.247
200409,4.786
200410,4.362
200411,3.578
200412,3.396
200501,2.718
200502,2.93
200503,4.036
200504,4.449
200505,4.911
200506,4.955
200507,5.202
200508,5.148
200509,4.695
200510,4.279
200511,3.51
200512,3.332
200601,2.844
200602,3.066
200603,4.224
200604,4.656
200605,5.14
200606,5.186
200607,5.444
200608,5.388
200609,4.914
200610,4.479
200611,3.674
200612,3.487
200701,2.982
200702,3.215
200703,4.429
200704,4.881
200705,5.389
200706,5.437
200707,5.708
200708,5.649
200709,5.152
200710,4.696
200711,3.852
200712,3.656
200801,3.166
200802,3.412
200803,4.702
200804,5.182
200805,5.721
200806,5.772
200807,6.06
200808,5.997
200809,5.469
200810,4.985
200811,4.089
200812,3.881
200901,3.241
200902,3.493
200903,4.813
200904,5.305
200905,5.856
200906,5.909
200907,6.203
200908,6.139
200909,5.599
200910,5.103
200911,4.186
200912,3.973
201001,3.506
201002,3.779
201003,5.207
201004,5.739
201005,6.335
201006,6.392
201007,6.711
201008,6.641
201009,6.057
201010,5.52
201011,4.528
201012,4.298
201101,3.835
201102,4.134
201103,5.696
201104,6.278
201105,6.931
201106,6.993
201107,7.341
201108,7.265
201109,6.626
201110,6.039
201111,4.954
201112,4.702
201201,4.271
201202,4.604
201203,6.344
201204,6.992
201205,7.718
201206,7.788
201207,8.176
201208,8.091
201209,7.379
201210,6.725
201211,5.517
201212,5.237
201301,4.953
201302,5.339
201303,7.356
201304,8.108
201305,8.95
201306,9.031
201307,9.481
201308,9.382
201309,8.557
201310,7.799
201311,6.397
201312,6.073
201401,5.936
201402,6.29
201403,8.633
201404,9.444
201405,10.468
201406,10.61
201407,11.105
201408,11.058
201409,10.251
201410,9.551
201411,7.907
201412,7.671
201501,6.439
201502,7.068
201503,9.96
201504,11.219
201505,12.412
201506,12.632
201507,13.42
201508,13.384
201509,12.161
201510,11.008
201511,9.103
201512,8.4
201601,8.036
201602,9.521
201603,12.742
201604,14.404
201605,15.97
201606,16.513
201607,17.191
201608,16.687
201609,14.864
201610,13.291
201611,10.851
201612,9.879
201701,9.655
201702,10.808
201703,15.735
201704,17.576
201705,19.382
201706,20.033
201707,20.48
201708,19.827
201709,17.733
201710,15.853
201711,12.413
201712,11.547
201801,12.016
201802,12.909
201803,18.047
