Solar,AR,LR,MLP
-1.138889188,-0.930072774,-0.930072774,-0.930072774
-0.495667382,-0.410076094,-0.410076094,-0.410076094
-0.25613695,-0.216588957,-0.216588957,-0.216588957
0.012302327,0.000680974,0.000680974,0.000680974
0.038113796,0.02164208,0.02164208,0.02164208
0.181109334,0.137331264,0.137331264,0.137331264
0.150135571,0.111936077,0.111936077,0.111936077
-0.113141412,-0.100496675,-0.100496675,-0.100496675
-0.354736761,-0.295999303,-0.295999303,-0.295999303
-0.801275174,-0.657175292,-0.657175292,-0.657175292
-0.905037279,-0.741019718,-0.741019718,-0.741019718
-1.204966548,-0.99376229,-0.99376229,-0.99376229
-1.077457892,-0.891375347,-0.891375347,-0.891375347
-0.411521993,-0.356867131,-0.356867131,-0.356867131
-0.163731891,-0.157333521,-0.157333521,-0.157333521
0.114515744,0.065982882,0.065982882,0.065982882
0.141359672,0.087347087,0.087347087,0.087347087
0.289517504,0.206664155,0.206664155,0.206664155
0.256995053,0.180462772,0.180462772,0.180462772
-0.01505783,-0.038419552,-0.038419552,-0.038419552
-0.265429079,-0.239162456,-0.239162456,-0.239162456
-0.727970602,-0.610818998,-0.610818998,-0.610818998
-0.835346313,-0.697082014,-0.697082014,-0.697082014
-1.159022133,-0.95788655,-0.95788655,-0.95788655
-1.027899871,-0.852677919,-0.852677919,-0.852677919
-0.343379715,-0.30325507,-0.30325507,-0.30325507
-0.087846172,-0.098481184,-0.098481184,-0.098481184
0.198144904,0.130881693,0.130881693,0.130881693
0.225505061,0.153052094,0.153052094,0.153052094
0.378308957,0.275190849,0.275190849,0.275190849
0.344754047,0.248586368,0.248586368,0.248586368
0.064441495,0.023657571,0.023657571,0.023657571
-0.192640736,-0.182728708,-0.182728708,-0.182728708
-0.668604223,-0.564462705,-0.564462705,-0.564462705
-0.779077311,-0.652741211,-0.652741211,-0.652741211
-1.113077719,-0.936925444,-0.936925444,-0.936925444
-0.978341851,-0.83010442,-0.83010442,-0.83010442
-0.274721207,-0.272216509,-0.272216509,-0.272216509
-0.012476683,-0.064620935,-0.064620935,-0.064620935
0.281257834,0.168772924,0.168772924,0.168772924
0.30965045,0.190943325,0.190943325,0.190943325
0.466067951,0.315097571,0.315097571,0.315097571
0.431996812,0.288089991,0.288089991,0.288089991
0.143940819,0.059936409,0.059936409,0.059936409
-0.120368623,-0.149674656,-0.149674656,-0.149674656
-0.609237845,-0.537455126,-0.537455126,-0.537455126
-0.722292079,-0.627346025,-0.627346025,-0.627346025
-1.086233791,-0.924429399,-0.924429399,-0.924429399
-0.949433006,-0.816399081,-0.816399081,-0.816399081
-0.234971545,-0.253673992,-0.253673992,-0.253673992
0.030886585,-0.043659829,-0.043659829,-0.043659829
0.329783395,0.191346423,0.191346423,0.191346423
0.358176011,0.213919922,0.213919922,0.213919922
0.51717466,0.339283463,0.339283463,0.339283463
0.482587291,0.311872785,0.311872785,0.311872785
0.190401463,0.081703712,0.081703712,0.081703712
-0.078037814,-0.129922844,-0.129922844,-0.129922844
-0.574650477,-0.521331198,-0.521331198,-0.521331198
-0.689769628,-0.611625195,-0.611625195,-0.611625195
-1.07023068,-0.942971917,-0.942971917,-0.942971917
-0.931881207,-0.836553991,-0.836553991,-0.836553991
-0.211224994,-0.281084669,-0.281084669,-0.281084669
0.057730513,-0.073892194,-0.073892194,-0.073892194
0.358692241,0.157889272,0.157889272,0.157889272
0.387601086,0.180059673,0.180059673,0.180059673
0.548148423,0.304213919,0.304213919,0.304213919
0.513044825,0.276803242,0.276803242,0.276803242
0.218277849,0.049858954,0.049858954,0.049858954
-0.052742574,-0.158945914,-0.158945914,-0.158945914
-0.554001301,-0.545113992,-0.545113992,-0.545113992
-0.669636682,-0.634601792,-0.634601792,-0.634601792
-1.093977232,-0.95788655,-0.95788655,-0.95788655
-0.957692676,-0.852677919,-0.852677919,-0.852677919
-0.246328592,-0.30325507,-0.30325507,-0.30325507
0.019013309,-0.098481184,-0.098481184,-0.098481184
0.315845202,0.130881693,0.130881693,0.130881693
0.344237818,0.153052094,0.153052094,0.153052094
0.503236467,0.275593947,0.275593947,0.275593947
0.468132869,0.248586368,0.248586368,0.248586368
0.177495729,0.024060669,0.024060669,0.024060669
-0.08991109,-0.182728708,-0.182728708,-0.182728708
-0.584458835,-0.564462705,-0.564462705,-0.564462705
-0.699061757,-0.652741211,-0.652741211,-0.652741211
-1.113077719,-0.988522013,-0.988522013,-0.988522013
-0.978341851,-0.885731972,-0.885731972,-0.885731972
