AR,AR
-1.090908957,-0.930072774
-0.631377007,-0.410076094
-0.460060271,-0.216588957
-0.268185527,0.000680974
-0.250046108,0.02164208
-0.147659165,0.137331264
-0.169829566,0.111936077
-0.357673328,-0.100496675
-0.530602456,-0.295999303
-0.849856232,-0.657175292
-0.923623203,-0.741019718
-1.111466965,-0.99376229
-1.01835128,-0.891375347
-0.531811751,-0.356867131
-0.35041756,-0.157333521
-0.147256066,0.065982882
-0.127504255,0.087347087
-0.019070838,0.206664155
-0.042853632,0.180462772
-0.241984144,-0.038419552
-0.424990727,-0.239162456
-0.763190119,-0.610818998
-0.84139117,-0.697082014
-1.073978832,-0.95788655
-0.97804146,-0.852677919
-0.475781101,-0.30325507
-0.288743535,-0.098481184
-0.07913247,0.130881693
-0.05897756,0.153052094
0.052680642,0.275190849
0.02849475,0.248586368
-0.177085333,0.023657571
-0.365735292,-0.182728708
-0.714415236,-0.564462705
-0.795437975,-0.652741211
-1.02963803,-0.936925444
-0.930072774,-0.83010442
-0.410076094,-0.272216509
-0.216588957,-0.064620935
0.000680974,0.168772924
0.02164208,0.190943325
0.137331264,0.315097571
0.111936077,0.288089991
-0.100496675,0.059936409
-0.295999303,-0.149674656
-0.657175292,-0.537455126
-0.741019718,-0.627346025
-0.99376229,-0.924429399
-0.891375347,-0.816399081
-0.356867131,-0.253673992
-0.157333521,-0.043659829
0.065982882,0.191346423
0.087347087,0.213919922
0.206664155,0.339283463
0.180462772,0.311872785
-0.038419552,0.081703712
-0.239162456,-0.129922844
-0.610818998,-0.521331198
-0.697082014,-0.611625195
-0.95788655,-0.942971917
-0.852677919,-0.836553991
-0.30325507,-0.281084669
-0.098481184,-0.073892194
0.130881693,0.157889272
0.153052094,0.180059673
0.275190849,0.304213919
0.248586368,0.276803242
0.023657571,0.049858954
-0.182728708,-0.158945914
-0.564462705,-0.545113992
-0.652741211,-0.634601792
-0.936925444,-0.95788655
-0.83010442,-0.852677919
-0.272216509,-0.30325507
-0.064620935,-0.098481184
0.168772924,0.130881693
0.190943325,0.153052094
0.315097571,0.275593947
0.288089991,0.248586368
0.059936409,0.024060669
-0.149674656,-0.182728708
-0.537455126,-0.564462705
-0.627346025,-0.652741211
-0.924429399,-0.988522013
-0.816399081,-0.885731972
-0.253673992,-0.349208265
-0.043659829,-0.148868459
