Solar,Energy,year,Price,REDTI,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2.965,2018.869,1990,7.17,8.8,1,0,0,0,0,0,0,0,0,0,0,0
3.196,1640.31,1990,7.48,22.7,0,1,0,0,0,0,0,0,0,0,0,0
4.403,1559.289,1990,7.57,29.8,0,0,1,0,0,0,0,0,0,0,0,0
4.853,1299.971,1990,7.69,26.8,0,0,0,1,0,0,0,0,0,0,0,0
5.357,1143.417,1990,7.96,53.9,0,0,0,0,1,0,0,0,0,0,0,0
5.406,1195.683,1990,8.1,54.1,0,0,0,0,0,1,0,0,0,0,0,0
5.675,1335.231,1990,8.18,34.6,0,0,0,0,0,0,1,0,0,0,0,0
5.616,1323.605,1990,8.24,39.3,0,0,0,0,0,0,0,1,0,0,0,0
5.122,1214.962,1990,8.15,35.8,0,0,0,0,0,0,0,0,1,0,0,0
4.668,1161.115,1990,8.04,26.9,0,0,0,0,0,0,0,0,0,1,0,0
3.829,1291.739,1990,7.8,22.1,0,0,0,0,0,0,0,0,0,0,1,0
3.635,1752.039,1990,7.61,43.7,0,0,0,0,0,0,0,0,0,0,0,1
3.058,2137.647,1991,7.41,46.1,1,0,0,0,0,0,0,0,0,0,0,0
3.296,1686.339,1991,7.61,15.9,0,1,0,0,0,0,0,0,0,0,0,0
4.542,1599.772,1991,7.79,38.3,0,0,1,0,0,0,0,0,0,0,0,0
5.006,1269.986,1991,7.98,20.1,0,0,0,1,0,0,0,0,0,0,0,0
5.526,1183.085,1991,8.14,30.2,0,0,0,0,1,0,0,0,0,0,0,0
5.576,1229.184,1991,8.32,53.5,0,0,0,0,0,1,0,0,0,0,0,0
5.853,1389.099,1991,8.38,47.7,0,0,0,0,0,0,1,0,0,0,0,0
5.793,1341.414,1991,8.41,46.4,0,0,0,0,0,0,0,1,0,0,0,0
5.283,1184.323,1991,8.37,25.2,0,0,0,0,0,0,0,0,1,0,0,0
4.815,1163.822,1991,8.32,26.9,0,0,0,0,0,0,0,0,0,1,0,0
3.95,1436.683,1991,7.95,66.4,0,0,0,0,0,0,0,0,0,0,1,0
3.749,1797.721,1991,7.81,33.1,0,0,0,0,0,0,0,0,0,0,0,1
3.168,2043.664,1992,7.7,31.1,1,0,0,0,0,0,0,0,0,0,0,0
3.415,1768.798,1992,7.78,17.4,0,1,0,0,0,0,0,0,0,0,0,0
4.705,1598.684,1992,8.01,44.0,0,0,1,0,0,0,0,0,0,0,0,0
5.185,1356.808,1992,8.03,36.2,0,0,0,1,0,0,0,0,0,0,0,0
5.724,1144.439,1992,8.38,7.9,0,0,0,0,1,0,0,0,0,0,0,0
5.776,1136.537,1992,8.61,9.2,0,0,0,0,0,1,0,0,0,0,0,0
6.063,1326.188,1992,8.54,22.2,0,0,0,0,0,0,1,0,0,0,0,0
6,1270.478,1992,8.56,2.6,0,0,0,0,0,0,0,1,0,0,0,0
5.473,1175.695,1992,8.59,36.4,0,0,0,0,0,0,0,0,1,0,0,0
4.988,1177.479,1992,8.44,48.3,0,0,0,0,0,0,0,0,0,1,0,0
4.092,1411.944,1992,8.14,60.8,0,0,0,0,0,0,0,0,0,0,1,0
3.884,1945.773,1992,7.86,49.6,0,0,0,0,0,0,0,0,0,0,0,1
3.257,2098.318,1993,7.73,34.4,1,0,0,0,0,0,0,0,0,0,0,0
3.511,1870.661,1993,7.79,61.6,0,1,0,0,0,0,0,0,0,0,0,0
4.837,1840.995,1993,7.8,56.7,0,0,1,0,0,0,0,0,0,0,0,0
5.332,1382.015,1993,8.13,46.7,0,0,0,1,0,0,0,0,0,0,0,0
5.886,1122.555,1993,8.56,0.5,0,0,0,0,1,0,0,0,0,0,0,0
5.939,1210.63,1993,8.74,36.9,0,0,0,0,0,1,0,0,0,0,0,0
6.235,1468.013,1993,8.73,60.3,0,0,0,0,0,0,1,0,0,0,0,0
6.17,1455.818,1993,8.73,59.6,0,0,0,0,0,0,0,1,0,0,0,0
5.627,1230.444,1993,8.79,51.9,0,0,0,0,0,0,0,0,1,0,0,0
5.129,1188.889,1993,8.76,49.2,0,0,0,0,0,0,0,0,0,1,0,0
4.207,1448.568,1993,8.21,66.1,0,0,0,0,0,0,0,0,0,0,1,0
3.993,1901.625,1993,7.9,48.3,0,0,0,0,0,0,0,0,0,0,0,1
3.346,2341.904,1994,7.74,65.0,1,0,0,0,0,0,0,0,0,0,0,0
3.607,1982.767,1994,7.85,58.5,0,1,0,0,0,0,0,0,0,0,0,0
