YYYYMM,Value
197607,3.9
197608,3.7
197609,3.8
197610,3.9
197611,3.8
197612,3.6
197701,3.6
197702,3.7
197703,4
197704,4.1
197705,4.2
197706,4.2
197707,4.2
197708,4.4
197709,4.3
197710,4.3
197711,4.2
197712,4
197801,3.9
197802,3.9
197803,4.1
197804,4.3
197805,4.5
197806,4.5
197807,4.5
197808,4.5
197809,4.5
197810,4.5
197811,4.4
197812,4.2
197901,4.1
197902,4.1
197903,4.3
197904,4.5
197905,4.7
197906,4.9
197907,4.9
197908,4.9
197909,5
197910,5
197911,4.8
197912,4.7
198001,4.7
198002,4.7
198003,4.9
198004,5.1
198005,5.4
198006,5.6
198007,5.7
198008,5.7
198009,5.7
198010,5.7
198011,5.6
198012,5.5
198101,5.4
198102,5.5
198103,5.8
198104,6
198105,6.3
198106,6.5
198107,6.6
198108,6.6
198109,6.6
198110,6.6
198111,6.4
198112,6.3
198201,6.2
198202,6.4
198203,6.6
198204,6.7
198205,6.9
198206,7.1
198207,7.2
198208,7.2
198209,7.2
198210,7.2
198211,6.9
198212,6.7
198301,6.7
198302,6.7
198303,6.9
198304,6.9
198305,7.2
198306,7.4
198307,7.5
198308,7.5
198309,7.6
198310,7.5
198311,7.3
198312,7
199001,7.17
199002,7.48
199003,7.57
199004,7.69
199005,7.96
199006,8.1
199007,8.18
199008,8.24
199009,8.15
199010,8.04
199011,7.8
199012,7.61
199101,7.41
199102,7.61
199103,7.79
199104,7.98
199105,8.14
199106,8.32
199107,8.38
199108,8.41
199109,8.37
199110,8.32
199111,7.95
199112,7.81
199201,7.7
199202,7.78
199203,8.01
199204,8.03
199205,8.38
199206,8.61
199207,8.54
199208,8.56
199209,8.59
199210,8.44
199211,8.14
199212,7.86
199301,7.73
199302,7.79
199303,7.8
199304,8.13
199305,8.56
199306,8.74
199307,8.73
199308,8.73
199309,8.79
199310,8.76
199311,8.21
199312,7.9
199401,7.74
199402,7.85
199403,8.08
199404,8.3
199405,8.53
199406,8.77
199407,8.8
199408,8.84
199409,8.82
199410,8.56
199411,8.29
199412,8.06
199501,7.85
199502,8.01
199503,8.14
199504,8.41
199505,8.53
199506,8.72
199507,8.8
199508,8.78
199509,8.57
199510,8.65
199511,8.26
199512,8.02
199601,7.75
199602,7.81
199603,8.09
199604,8.24
199605,8.54
199606,8.65
199607,8.73
199608,8.86
199609,8.79
199610,8.67
199611,8.25
199612,7.99
199701,7.87
199702,7.98
199703,8.24
199704,8.38
199705,8.65
199706,8.91
199707,8.74
199708,8.8
199709,8.75
