year,Price,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,lag5,peek5,lag6,peek6,lag7,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1991,7.41,3.635,3.2960000000000003,3.8289999999999997,4.542,4.668,5.006,5.122000000000001,5.526,5.6160000000000005,5.5760000000000005,5.675,5.853,5.406000000000001,5.792999999999999,5.357,5.2829999999999995,4.853,4.815,4.4030000000000005,3.95,3.196,3.7489999999999997,2.965,3.168
1991,7.61,3.0580000000000003,4.542,3.635,5.006,3.8289999999999997,5.526,4.668,5.5760000000000005,5.122000000000001,5.853,5.6160000000000005,5.792999999999999,5.675,5.2829999999999995,5.406000000000001,4.815,5.357,3.95,4.853,3.7489999999999997,4.4030000000000005,3.168,3.196,3.415
1991,7.79,3.2960000000000003,5.006,3.0580000000000003,5.526,3.635,5.5760000000000005,3.8289999999999997,5.853,4.668,5.792999999999999,5.122000000000001,5.2829999999999995,5.6160000000000005,4.815,5.675,3.95,5.406000000000001,3.7489999999999997,5.357,3.168,4.853,3.415,4.4030000000000005,4.705
1991,7.98,4.542,5.526,3.2960000000000003,5.5760000000000005,3.0580000000000003,5.853,3.635,5.792999999999999,3.8289999999999997,5.2829999999999995,4.668,4.815,5.122000000000001,3.95,5.6160000000000005,3.7489999999999997,5.675,3.168,5.406000000000001,3.415,5.357,4.705,4.853,5.185
1991,8.14,5.006,5.5760000000000005,4.542,5.853,3.2960000000000003,5.792999999999999,3.0580000000000003,5.2829999999999995,3.635,4.815,3.8289999999999997,3.95,4.668,3.7489999999999997,5.122000000000001,3.168,5.6160000000000005,3.415,5.675,4.705,5.406000000000001,5.185,5.357,5.724
1991,8.32,5.526,5.853,5.006,5.792999999999999,4.542,5.2829999999999995,3.2960000000000003,4.815,3.0580000000000003,3.95,3.635,3.7489999999999997,3.8289999999999997,3.168,4.668,3.415,5.122000000000001,4.705,5.6160000000000005,5.185,5.675,5.724,5.406000000000001,5.776
1991,8.38,5.5760000000000005,5.792999999999999,5.526,5.2829999999999995,5.006,4.815,4.542,3.95,3.2960000000000003,3.7489999999999997,3.0580000000000003,3.168,3.635,3.415,3.8289999999999997,4.705,4.668,5.185,5.122000000000001,5.724,5.6160000000000005,5.776,5.675,6.063
1991,8.41,5.853,5.2829999999999995,5.5760000000000005,4.815,5.526,3.95,5.006,3.7489999999999997,4.542,3.168,3.2960000000000003,3.415,3.0580000000000003,4.705,3.635,5.185,3.8289999999999997,5.724,4.668,5.776,5.122000000000001,6.063,5.6160000000000005,6.0
1991,8.37,5.792999999999999,4.815,5.853,3.95,5.5760000000000005,3.7489999999999997,5.526,3.168,5.006,3.415,4.542,4.705,3.2960000000000003,5.185,3.0580000000000003,5.724,3.635,5.776,3.8289999999999997,6.063,4.668,6.0,5.122000000000001,5.473
1991,8.32,5.2829999999999995,3.95,5.792999999999999,3.7489999999999997,5.853,3.168,5.5760000000000005,3.415,5.526,4.705,5.006,5.185,4.542,5.724,3.2960000000000003,5.776,3.0580000000000003,6.063,3.635,6.0,3.8289999999999997,5.473,4.668,4.988
1991,7.95,4.815,3.7489999999999997,5.2829999999999995,3.168,5.792999999999999,3.415,5.853,4.705,5.5760000000000005,5.185,5.526,5.724,5.006,5.776,4.542,6.063,3.2960000000000003,6.0,3.0580000000000003,5.473,3.635,4.988,3.8289999999999997,4.092
1991,7.81,3.95,3.168,4.815,3.415,5.2829999999999995,4.705,5.792999999999999,5.185,5.853,5.724,5.5760000000000005,5.776,5.526,6.063,5.006,6.0,4.542,5.473,3.2960000000000003,4.988,3.0580000000000003,4.092,3.635,3.884
1992,7.7,3.7489999999999997,3.415,3.95,4.705,4.815,5.185,5.2829999999999995,5.724,5.792999999999999,5.776,5.853,6.063,5.5760000000000005,6.0,5.526,5.473,5.006,4.988,4.542,4.092,3.2960000000000003,3.884,3.0580000000000003,3.2569999999999997
1992,7.78,3.168,4.705,3.7489999999999997,5.185,3.95,5.724,4.815,5.776,5.2829999999999995,6.063,5.792999999999999,6.0,5.853,5.473,5.5760000000000005,4.988,5.526,4.092,5.006,3.884,4.542,3.2569999999999997,3.2960000000000003,3.511
1992,8.01,3.415,5.185,3.168,5.724,3.7489999999999997,5.776,3.95,6.063,4.815,6.0,5.2829999999999995,5.473,5.792999999999999,4.988,5.853,4.092,5.5760000000000005,3.884,5.526,3.2569999999999997,5.006,3.511,4.542,4.837
1992,8.03,4.705,5.724,3.415,5.776,3.168,6.063,3.7489999999999997,6.0,3.95,5.473,4.815,4.988,5.2829999999999995,4.092,5.792999999999999,3.884,5.853,3.2569999999999997,5.5760000000000005,3.511,5.526,4.837,5.006,5.332000000000001
1992,8.38,5.185,5.776,4.705,6.063,3.415,6.0,3.168,5.473,3.7489999999999997,4.988,3.95,4.092,4.815,3.884,5.2829999999999995,3.2569999999999997,5.792999999999999,3.511,5.853,4.837,5.5760000000000005,5.332000000000001,5.526,5.886
1992,8.61,5.724,6.063,5.185,6.0,4.705,5.473,3.415,4.988,3.168,4.092,3.7489999999999997,3.884,3.95,3.2569999999999997,4.815,3.511,5.2829999999999995,4.837,5.792999999999999,5.332000000000001,5.853,5.886,5.5760000000000005,5.939
1992,8.54,5.776,6.0,5.724,5.473,5.185,4.988,4.705,4.092,3.415,3.884,3.168,3.2569999999999997,3.7489999999999997,3.511,3.95,4.837,4.815,5.332000000000001,5.2829999999999995,5.886,5.792999999999999,5.939,5.853,6.235
1992,8.56,6.063,5.473,5.776,4.988,5.724,4.092,5.185,3.884,4.705,3.2569999999999997,3.415,3.511,3.168,4.837,3.7489999999999997,5.332000000000001,3.95,5.886,4.815,5.939,5.2829999999999995,6.235,5.792999999999999,6.17
1992,8.59,6.0,4.988,6.063,4.092,5.776,3.884,5.724,3.2569999999999997,5.185,3.511,4.705,4.837,3.415,5.332000000000001,3.168,5.886,3.7489999999999997,5.939,3.95,6.235,4.815,6.17,5.2829999999999995,5.627000000000001
1992,8.44,5.473,4.092,6.0,3.884,6.063,3.2569999999999997,5.776,3.511,5.724,4.837,5.185,5.332000000000001,4.705,5.886,3.415,5.939,3.168,6.235,3.7489999999999997,6.17,3.95,5.627000000000001,4.815,5.129
1992,8.14,4.988,3.884,5.473,3.2569999999999997,6.0,3.511,6.063,4.837,5.776,5.332000000000001,5.724,5.886,5.185,5.939,4.705,6.235,3.415,6.17,3.168,5.627000000000001,3.7489999999999997,5.129,3.95,4.207
1992,7.86,4.092,3.2569999999999997,4.988,3.511,5.473,4.837,6.0,5.332000000000001,6.063,5.886,5.776,5.939,5.724,6.235,5.185,6.17,4.705,5.627000000000001,3.415,5.129,3.168,4.207,3.7489999999999997,3.9930000000000003
1993,7.73,3.884,3.511,4.092,4.837,4.988,5.332000000000001,5.473,5.886,6.0,5.939,6.063,6.235,5.776,6.17,5.724,5.627000000000001,5.185,5.129,4.705,4.207,3.415,3.9930000000000003,3.168,3.346
1993,7.79,3.2569999999999997,4.837,3.884,5.332000000000001,4.092,5.886,4.988,5.939,5.473,6.235,6.0,6.17,6.063,5.627000000000001,5.776,5.129,5.724,4.207,5.185,3.9930000000000003,4.705,3.346,3.415,3.6069999999999998
1993,7.8,3.511,5.332000000000001,3.2569999999999997,5.886,3.884,5.939,4.092,6.235,4.988,6.17,5.473,5.627000000000001,6.0,5.129,6.063,4.207,5.776,3.9930000000000003,5.724,3.346,5.185,3.6069999999999998,4.705,4.97
1993,8.13,4.837,5.886,3.511,5.939,3.2569999999999997,6.235,3.884,6.17,4.092,5.627000000000001,4.988,5.129,5.473,4.207,6.0,3.9930000000000003,6.063,3.346,5.776,3.6069999999999998,5.724,4.97,5.185,5.478
1993,8.56,5.332000000000001,5.939,4.837,6.235,3.511,6.17,3.2569999999999997,5.627000000000001,3.884,5.129,4.092,4.207,4.988,3.9930000000000003,5.473,3.346,6.0,3.6069999999999998,6.063,4.97,5.776,5.478,5.724,6.047000000000001
1993,8.74,5.886,6.235,5.332000000000001,6.17,4.837,5.627000000000001,3.511,5.129,3.2569999999999997,4.207,3.884,3.9930000000000003,4.092,3.346,4.988,3.6069999999999998,5.473,4.97,6.0,5.478,6.063,6.047000000000001,5.776,6.102
1993,8.73,5.939,6.17,5.886,5.627000000000001,5.332000000000001,5.129,4.837,4.207,3.511,3.9930000000000003,3.2569999999999997,3.346,3.884,3.6069999999999998,4.092,4.97,4.988,5.478,5.473,6.047000000000001,6.0,6.102,6.063,6.405
1993,8.73,6.235,5.627000000000001,5.939,5.129,5.886,4.207,5.332000000000001,3.9930000000000003,4.837,3.346,3.511,3.6069999999999998,3.2569999999999997,4.97,3.884,5.478,4.092,6.047000000000001,4.988,6.102,5.473,6.405,6.0,6.3389999999999995
1993,8.79,6.17,5.129,6.235,4.207,5.939,3.9930000000000003,5.886,3.346,5.332000000000001,3.6069999999999998,4.837,4.97,3.511,5.478,3.2569999999999997,6.047000000000001,3.884,6.102,4.092,6.405,4.988,6.3389999999999995,5.473,5.781000000000001
1993,8.76,5.627000000000001,4.207,6.17,3.9930000000000003,6.235,3.346,5.939,3.6069999999999998,5.886,4.97,5.332000000000001,5.478,4.837,6.047000000000001,3.511,6.102,3.2569999999999997,6.405,3.884,6.3389999999999995,4.092,5.781000000000001,4.988,5.269
1993,8.21,5.129,3.9930000000000003,5.627000000000001,3.346,6.17,3.6069999999999998,6.235,4.97,5.939,5.478,5.886,6.047000000000001,5.332000000000001,6.102,4.837,6.405,3.511,6.3389999999999995,3.2569999999999997,5.781000000000001,3.884,5.269,4.092,4.322
