year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1991,2.1294214739848565,3.635,3.2960000000000003,3.8289999999999997,4.542,4.668,5.006,5.122000000000001,5.526,5.5760000000000005,5.853,5.792999999999999,5.357,5.2829999999999995,4.853,4.815,4.4030000000000005,3.95,3.196,3.7489999999999997,2.965,3.168
1991,2.1529243184396396,3.0580000000000003,4.542,3.635,5.006,3.8289999999999997,5.526,4.668,5.5760000000000005,5.853,5.792999999999999,5.2829999999999995,5.406000000000001,4.815,5.357,3.95,4.853,3.7489999999999997,4.4030000000000005,3.168,3.196,3.415
1991,2.1736147116970854,3.2960000000000003,5.006,3.0580000000000003,5.526,3.635,5.5760000000000005,3.8289999999999997,5.853,5.792999999999999,5.2829999999999995,4.815,5.675,3.95,5.406000000000001,3.7489999999999997,5.357,3.168,4.853,3.415,4.4030000000000005,4.705
1991,2.194999882314108,4.542,5.526,3.2960000000000003,5.5760000000000005,3.0580000000000003,5.853,3.635,5.792999999999999,5.2829999999999995,4.815,3.95,5.6160000000000005,3.7489999999999997,5.675,3.168,5.406000000000001,3.415,5.357,4.705,4.853,5.185
1991,2.2126603854660587,5.006,5.5760000000000005,4.542,5.853,3.2960000000000003,5.792999999999999,3.0580000000000003,5.2829999999999995,4.815,3.95,3.7489999999999997,5.122000000000001,3.168,5.6160000000000005,3.415,5.675,4.705,5.406000000000001,5.185,5.357,5.724
1991,2.2321626286975,5.526,5.853,5.006,5.792999999999999,4.542,5.2829999999999995,3.2960000000000003,4.815,3.95,3.7489999999999997,3.168,4.668,3.415,5.122000000000001,4.705,5.6160000000000005,5.185,5.675,5.724,5.406000000000001,5.776
1991,2.238579763018133,5.5760000000000005,5.792999999999999,5.526,5.2829999999999995,5.006,4.815,4.542,3.95,3.7489999999999997,3.168,3.415,3.8289999999999997,4.705,4.668,5.185,5.122000000000001,5.724,5.6160000000000005,5.776,5.675,6.063
1991,2.2417729535972883,5.853,5.2829999999999995,5.5760000000000005,4.815,5.526,3.95,5.006,3.7489999999999997,3.168,3.415,4.705,3.635,5.185,3.8289999999999997,5.724,4.668,5.776,5.122000000000001,6.063,5.6160000000000005,6.0
1991,2.2375130962503307,5.792999999999999,4.815,5.853,3.95,5.5760000000000005,3.7489999999999997,5.526,3.168,3.415,4.705,5.185,3.0580000000000003,5.724,3.635,5.776,3.8289999999999997,6.063,4.668,6.0,5.122000000000001,5.473
1991,2.2321626286975,5.2829999999999995,3.95,5.792999999999999,3.7489999999999997,5.853,3.168,5.5760000000000005,3.415,4.705,5.185,5.724,3.2960000000000003,5.776,3.0580000000000003,6.063,3.635,6.0,3.8289999999999997,5.473,4.668,4.988
1991,2.191653532286764,4.815,3.7489999999999997,5.2829999999999995,3.168,5.792999999999999,3.415,5.853,4.705,5.185,5.724,5.776,4.542,6.063,3.2960000000000003,6.0,3.0580000000000003,5.473,3.635,4.988,3.8289999999999997,4.092
1991,2.175887439948088,3.95,3.168,4.815,3.415,5.2829999999999995,4.705,5.792999999999999,5.185,5.724,5.776,6.063,5.006,6.0,4.542,5.473,3.2960000000000003,4.988,3.0580000000000003,4.092,3.635,3.884
1992,2.1633230256605382,3.7489999999999997,3.415,3.95,4.705,4.815,5.185,5.2829999999999995,5.724,5.776,6.063,6.0,5.526,5.473,5.006,4.988,4.542,4.092,3.2960000000000003,3.884,3.0580000000000003,3.2569999999999997
1992,2.172476407647025,3.168,4.705,3.7489999999999997,5.185,3.95,5.724,4.815,5.776,6.063,6.0,5.473,5.5760000000000005,4.988,5.526,4.092,5.006,3.884,4.542,3.2569999999999997,3.2960000000000003,3.511
1992,2.1983350716202463,3.415,5.185,3.168,5.724,3.7489999999999997,5.776,3.95,6.063,6.0,5.473,4.988,5.853,4.092,5.5760000000000005,3.884,5.526,3.2569999999999997,5.006,3.511,4.542,4.837
1992,2.200552367428894,4.705,5.724,3.415,5.776,3.168,6.063,3.7489999999999997,6.0,5.473,4.988,4.092,5.792999999999999,3.884,5.853,3.2569999999999997,5.5760000000000005,3.511,5.526,4.837,5.006,5.332000000000001
1992,2.238579763018133,5.185,5.776,4.705,6.063,3.415,6.0,3.168,5.473,4.988,4.092,3.884,5.2829999999999995,3.2569999999999997,5.792999999999999,3.511,5.853,4.837,5.5760000000000005,5.332000000000001,5.526,5.886
1992,2.262804222982201,5.724,6.063,5.185,6.0,4.705,5.473,3.415,4.988,4.092,3.884,3.2569999999999997,4.815,3.511,5.2829999999999995,4.837,5.792999999999999,5.332000000000001,5.853,5.886,5.5760000000000005,5.939
1992,2.255493485460195,5.776,6.0,5.724,5.473,5.185,4.988,4.705,4.092,3.884,3.2569999999999997,3.511,3.95,4.837,4.815,5.332000000000001,5.2829999999999995,5.886,5.792999999999999,5.939,5.853,6.235
